Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Canonical Link Element 1,Size,Word Count,Text Ratio,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/curriculum.html,3,text/html;charset=UTF-8,200,OK,Curriculum Content Areas - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,171,1434,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,MSPH in Health Policy Program Curriculum ,41,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/curriculum.html,95972,2120,16.217201,20,11,1.45,330,270,51,33,1.551,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/curriculum.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/faqs.html,3,text/html;charset=UTF-8,200,OK,FAQs - Master of Science in Public Health in Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,171,1425,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,FAQs,4,,0,CAN I DO THE PROGRAM PART-TIME?,31,CAN I TAKE COURSES ONLINE?,26,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/faqs.html,52310,930,12.159217,22,11,1.45,162,127,45,28,1.427,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/faqs.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/field-placement-experience.html,3,text/html;charset=UTF-8,200,OK,Field Placement Experience - Master of Science in Public Health in Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,193,1603,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Field Placement Experience,26,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/field-placement-experience.html,60119,2125,24.521832,13,11,1.45,156,127,45,28,1.224,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/field-placement-experience.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/financial-aid-and-tuition.html,3,text/html;charset=UTF-8,200,OK,Financial Aid and Tuition - Master of Science in Public Health in Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,192,1576,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Financial Aid & Tuition,23,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/financial-aid-and-tuition.html,50524,820,11.276082,13,11,1.45,158,130,45,28,1.382,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/financial-aid-and-tuition.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/program-competencies-and-learning-objectives.html,3,text/html;charset=UTF-8,200,OK,Program Competencies and Learning Objectives - Master of Science in Public Health in Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,211,1767,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Program Competencies,20,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/program-competencies-and-learning-objectives.html,50704,865,12.142012,13,11,1.45,155,127,45,28,2.429,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-science-in-public-health-in-health-policy/program-competencies-and-learning-objectives.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/,2,text/html;charset=UTF-8,200,OK,PhD in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,148,1269,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD in Health Policy and Management,35,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/index.html,52220,784,10.52551,127,89,11.76,159,130,47,29,1.27,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/admissions-requirements.html,2,text/html;charset=UTF-8,200,OK,Admissions Requirements - PhD in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,174,1494,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Application Requirements,28,,0,GRE Requirements,16,English Language Proficiency Tests,34,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/admissions-requirements.html,55141,1389,17.350288,37,35,4.62,156,128,49,32,1.775,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/admissions-requirements.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/application-deadlines.html,2,text/html;charset=UTF-8,200,OK,JHU Health Policy & Management PhD,34,312,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Application Deadline,24,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/application-deadlines.html,48974,699,10.136818,43,35,4.62,154,126,45,28,1.751,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/application-deadlines.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/faqs.html,2,text/html;charset=UTF-8,200,OK,Frequently Asked Questions - PhD in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,177,1511,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Frequently Asked Questions,30,,0,What are the criteria for admissions?,37,Are the GREs required?,22,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/faqs.html,55198,1383,16.82067,48,35,4.62,167,128,45,28,1.676,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/faqs.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/funding-opportunities.html,2,text/html;charset=UTF-8,200,OK,Funding Opportunities - PhD in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,172,1462,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Funding,11,,0,Other Sources of Funding,24,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/funding-opportunities.html,53065,1051,14.03479,37,35,4.62,157,128,51,34,1.941,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/funding-opportunities.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/,2,text/html;charset=UTF-8,200,OK,PhD in Bioethics & Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,145,1219,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Concentration in Bioethics & Health Policy,46,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/index.html,56435,933,11.77367,42,35,4.62,159,130,49,31,2.211,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/bioethics-curriculum.html,3,text/html;charset=UTF-8,200,OK,Curriculum - PhD in Bioethics and Health Policy - Degree Programs - Health Policy and Management - Department - Johns Hopkins Bloomberg School of Public Health,159,1331,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Concentration in Bioethics & Health Policy PhD Curriculum,57,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/bioethics-curriculum.html,53863,1152,15.013833,8,6,0.79,159,130,45,28,1.29,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/bioethics-curriculum.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/faculty.html,3,text/html;charset=UTF-8,200,OK,Faculty - PhD in Bioethics & Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,155,1293,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Faculty,7,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/faculty.html,50776,657,9.1841955,8,6,0.79,167,138,45,28,1.648,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/faculty.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/program-competencies.html,3,text/html;charset=UTF-8,200,OK,Program Competencies and Learning Objectives - PhD in Bioethics & Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,192,1623,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Competencies,12,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/program-competencies.html,52820,992,13.501591,8,6,0.79,159,130,45,28,1.386,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/program-competencies.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/sample-graduates.html,3,text/html;charset=UTF-8,200,OK,Sample Dissertation Titles - PhD in Bioethics & Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,174,1444,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Sample Graduates,16,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/sample-graduates.html,54629,1016,13.60482,8,6,0.79,159,130,45,28,1.347,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-bioethics-and-health-policy/sample-graduates.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/,2,text/html;charset=UTF-8,200,OK,PhD in Health and Public Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,144,1213,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,PhD Concentration in Health & Public Policy,43,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/index.html,57629,936,11.577248,48,35,4.62,165,136,47,29,1.823,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/faculty.html,3,text/html;charset=UTF-8,200,OK,Faculty - PhD in Health and Public Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,154,1287,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Faculty,7,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/faculty.html,53110,709,9.401951,12,10,1.32,180,151,45,28,2.725,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/faculty.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/hpp-curriculum.html,3,text/html;charset=UTF-8,200,OK,Curriculum - Concentration in Health and Public Policy - PhD in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,205,1718,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Concentration in Health and Public Policy PhD Curriculum,56,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/hpp-curriculum.html,55553,1141,14.896758,12,10,1.32,163,134,45,28,2.235,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/hpp-curriculum.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/program-competencies.html,3,text/html;charset=UTF-8,200,OK,Program Competencies and Learning Objectives - PhD in Health and Public Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,191,1617,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Competencies,12,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/program-competencies.html,54132,995,13.325821,12,10,1.32,163,134,45,28,1.131,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/phd-in-health-policy-and-management/phd-concentration-in-health-and-public-policy/program-competencies.html
